UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
318024,65.0,46.932270916334666,53.0,529.0,19.0,102.0,29.0,0.0,37.0,0.0,146.0,31.0,28.0,1.1831764930814685
318877,440.0,27.808764940239048,10.0,341.0,0.0,9.0,9.0,2.0,18.0,0.0,47.0,19.0,10.0,1.2806508446071894
320084,391.0,16.494023904382473,2.0,34.0,7.0,184.0,4.0,0.0,2.0,0.0,12.0,12.0,1.0,2.718281828459045
320793,504.0,25.099601593625497,25.0,269.0,11.0,24.0,18.0,0.0,39.0,0.0,106.0,24.0,17.0,1.2966758115785233
322385,341.0,16.812749003984067,33.0,176.0,1.0,20.0,22.0,0.0,22.0,1.0,69.0,16.0,16.0,1.3093505487914747
322433,145.0,51.952191235059765,5.0,49.0,227.0,851.0,16.0,0.0,4.0,0.0,38.0,10.0,15.0,1.2883126428172633
324635,74.0,182.47011952191235,2161.0,2043.0,152.0,845.0,1185.0,5.0,809.0,1.0,2346.0,60.0,1244.0,1.0319300339151205
324805,196.0,18.247011952191237,32.0,132.0,11.0,95.0,2.0,2.0,14.0,0.0,44.0,15.0,11.0,1.3056051720649522
324915,396.0,21.59362549800797,36.0,146.0,28.0,146.0,17.0,0.0,16.0,0.0,88.0,17.0,32.0,1.1755836008702534
325172,317.0,27.808764940239048,14.0,37.0,26.0,336.0,7.0,1.0,11.0,0.0,23.0,13.0,5.0,1.4245360102344196
326920,256.0,7.330677290836654,0.0,1.0,109.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.718281828459045
327086,490.0,16.41434262948207,2.0,122.0,22.0,83.0,14.0,1.0,12.0,0.0,40.0,7.0,25.0,1.2568032935896711
327480,213.0,4.462151394422311,0.0,12.0,4.0,44.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,2.117000016612675
327920,45.0,8.207171314741036,1.0,65.0,46.0,22.0,13.0,1.0,9.0,0.0,32.0,16.0,7.0,1.33071219744735
328743,192.0,15.298804780876495,8.0,161.0,2.0,10.0,11.0,1.0,26.0,7.0,28.0,13.0,9.0,1.2703802172381446
328846,102.0,1.9920318725099602,1.0,20.0,1.0,6.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,1.8682459574322223
